DMA,NFL,NBA,MLB,NHL,NASCAR,CBB,CFB,PctTrumpVote
Traverse City-Cadillac MI,0.31,0.15,0.18,0.11,0.08,0.08,0.10,0.60
Tri-Cities TN-VA,0.33,0.17,0.11,0.03,0.15,0.07,0.15,0.77
Tucson (Sierra Vista) AZ,0.39,0.21,0.13,0.04,0.03,0.15,0.06,0.41
Tulsa OK,0.33,0.28,0.11,0.03,0.05,0.04,0.16,0.66
Twin Falls ID,0.45,0.22,0.10,0.04,0.04,0.04,0.10,0.63
Tyler-Longview(Lufkin & Nacogdoches) TX,0.42,0.24,0.14,0.02,0.05,0.02,0.10,0.73
Utica NY,0.38,0.20,0.17,0.10,0.06,0.04,0.04,0.57
Victoria TX,0.45,0.30,0.10,0.02,0.04,0.02,0.07,0.68
Waco-Temple-Bryan TX,0.39,0.27,0.10,0.02,0.04,0.03,0.14,0.62
Washington DC (Hagerstown MD),0.43,0.24,0.14,0.07,0.03,0.04,0.05,0.30
Watertown NY,0.39,0.16,0.14,0.16,0.08,0.03,0.04,0.56
Wausau-Rhinelander WI,0.49,0.14,0.15,0.06,0.08,0.03,0.05,0.56
West Palm Beach-Ft. Pierce FL,0.31,0.34,0.18,0.06,0.03,0.02,0.05,0.46
Wheeling WV-Steubenville OH,0.38,0.15,0.16,0.09,0.06,0.04,0.11,0.68
Wichita Falls TX & Lawton OK,0.40,0.26,0.12,0.02,0.05,0.03,0.12,0.74
Wichita-Hutchinson KS,0.42,0.21,0.13,0.03,0.05,0.09,0.08,0.65
Wilkes Barre-Scranton PA,0.43,0.16,0.16,0.07,0.08,0.03,0.07,0.60
Wilmington NC,0.40,0.20,0.12,0.05,0.08,0.09,0.07,0.56
Yakima-Pasco-Richland-Kennewick WA,0.52,0.19,0.11,0.03,0.03,0.04,0.07,0.55
Youngstown OH,0.41,0.23,0.15,0.05,0.05,0.03,0.08,0.53
Yuma AZ-El Centro CA,0.47,0.22,0.18,0.04,0.03,0.02,0.04,0.37
Zanesville OH,0.36,0.21,0.11,0.04,0.10,0.04,0.14,0.65
